model tuple,gen,test result
"('111', '1110010011')","{'S_1': '1-11', 'S_2': '1-11-001-0011'}","(0.9898, 0.500710478591919)"
"('111', '1110010010')","{'S_1': '1-11', 'S_2': '1-11-001-0010'}","(0.9905, 0.5818092059135437)"
"('111', '1110010001')","{'S_1': '1-11', 'S_2': '1-11-001-0001'}","(0.7661, 2.059373718261719)"
"('111', '1110010000')","{'S_1': '1-11', 'S_2': '1-11-001-0000'}","(0.1261, 2.3227924003601075)"
"('111', '1110001111')","{'S_1': '1-11', 'S_2': '1-11-000-1111'}","(0.9908, 0.034152292283531276)"
"('111', '1110001110')","{'S_1': '1-11', 'S_2': '1-11-000-1110'}","(0.9907, 0.0342362871705569)"
"('111', '1110001101')","{'S_1': '1-11', 'S_2': '1-11-000-1101'}","(0.9896, 0.03473511221818626)"
"('111', '1110001100')","{'S_1': '1-11', 'S_2': '1-11-000-1100'}","(0.9893, 0.034638582508731634)"
"('111', '1110001011')","{'S_1': '1-11', 'S_2': '1-11-000-1011'}","(0.9889, 0.035607780882203954)"
"('111', '1110001010')","{'S_1': '1-11', 'S_2': '1-11-000-1010'}","(0.9891, 0.03560414766665781)"
"('111', '1110001001')","{'S_1': '1-11', 'S_2': '1-11-000-1001'}","(0.987, 0.03974394488781691)"
"('111', '1110001000')","{'S_1': '1-11', 'S_2': '1-11-000-1000'}","(0.9869, 0.03944444121997803)"
"('111', '1110000111')","{'S_1': '1-11', 'S_2': '1-11-000-0111'}","(0.9912, 0.18242868685722352)"
"('111', '1110000110')","{'S_1': '1-11', 'S_2': '1-11-000-0110'}","(0.9913, 0.16165608727931977)"
"('111', '1110000101')","{'S_1': '1-11', 'S_2': '1-11-000-0101'}","(0.8513, 1.2482811721801759)"
"('111', '1110000100')","{'S_1': '1-11', 'S_2': '1-11-000-0100'}","(0.8968, 1.1443585847854614)"
"('111', '1110000011')","{'S_1': '1-11', 'S_2': '1-11-000-0011'}","(0.9881, 0.5742083415031433)"
"('111', '1110000010')","{'S_1': '1-11', 'S_2': '1-11-000-0010'}","(0.9897, 0.5075942899227143)"
"('111', '1110000001')","{'S_1': '1-11', 'S_2': '1-11-000-0001'}","(0.0919, 2.4774841899871825)"
"('111', '1110000000')","{'S_1': '1-11', 'S_2': '1-11-000-0000'}","(0.0914, 2.4808835960388183)"
"('111', '1101111111')","{'S_1': '1-11', 'S_2': '1-10-111-1111'}","(0.9914, 0.03351666584977938)"
"('111', '1101111110')","{'S_1': '1-11', 'S_2': '1-10-111-1110'}","(0.9905, 0.0336716648444999)"
"('111', '1101111101')","{'S_1': '1-11', 'S_2': '1-10-111-1101'}","(0.9908, 0.03250375488948776)"
"('111', '1101111100')","{'S_1': '1-11', 'S_2': '1-10-111-1100'}","(0.9897, 0.03508153244066052)"
"('111', '1101111011')","{'S_1': '1-11', 'S_2': '1-10-111-1011'}","(0.9903, 0.03356182789679151)"
"('111', '1101111010')","{'S_1': '1-11', 'S_2': '1-10-111-1010'}","(0.9893, 0.035662705085705966)"
"('111', '1101111001')","{'S_1': '1-11', 'S_2': '1-10-111-1001'}","(0.9899, 0.03339878910374828)"
"('111', '1101111000')","{'S_1': '1-11', 'S_2': '1-10-111-1000'}","(0.988, 0.03994225879795849)"
"('111', '1101110111')","{'S_1': '1-11', 'S_2': '1-10-111-0111'}","(0.9912, 0.05608613139986992)"
"('111', '1101110110')","{'S_1': '1-11', 'S_2': '1-10-111-0110'}","(0.9849, 0.29399330406188967)"
"('111', '1101110101')","{'S_1': '1-11', 'S_2': '1-10-111-0101'}","(0.991, 0.14505550310611726)"
"('111', '1101110100')","{'S_1': '1-11', 'S_2': '1-10-111-0100'}","(0.8421, 1.2128193731307984)"
"('111', '1101110011')","{'S_1': '1-11', 'S_2': '1-10-111-0011'}","(0.99, 0.11372289845943451)"
"('111', '1101110010')","{'S_1': '1-11', 'S_2': '1-10-111-0010'}","(0.9251, 0.9477834203720092)"
"('111', '1101110001')","{'S_1': '1-11', 'S_2': '1-10-111-0001'}","(0.988, 0.4105448118209839)"
"('111', '1101110000')","{'S_1': '1-11', 'S_2': '1-10-111-0000'}","(0.1121, 2.6968268321990965)"
"('111', '1101101111')","{'S_1': '1-11', 'S_2': '1-10-110-1111'}","(0.9911, 0.03429066439118324)"
"('111', '1101101110')","{'S_1': '1-11', 'S_2': '1-10-110-1110'}","(0.9904, 0.033895064010983335)"
"('111', '1101101101')","{'S_1': '1-11', 'S_2': '1-10-110-1101'}","(0.9911, 0.032259493489534365)"
"('111', '1101101100')","{'S_1': '1-11', 'S_2': '1-10-110-1100'}","(0.989, 0.035410716523882)"
"('111', '1101101011')","{'S_1': '1-11', 'S_2': '1-10-110-1011'}","(0.9901, 0.03457118214190705)"
"('111', '1101101010')","{'S_1': '1-11', 'S_2': '1-10-110-1010'}","(0.9891, 0.035781890122080225)"
"('111', '1101101001')","{'S_1': '1-11', 'S_2': '1-10-110-1001'}","(0.9899, 0.03378463508510031)"
"('111', '1101101000')","{'S_1': '1-11', 'S_2': '1-10-110-1000'}","(0.9869, 0.04131184737607837)"
"('111', '1101100111')","{'S_1': '1-11', 'S_2': '1-10-110-0111'}","(0.9913, 0.0594471821308136)"
"('111', '1101100110')","{'S_1': '1-11', 'S_2': '1-10-110-0110'}","(0.987, 0.27086617193222046)"
"('111', '1101100101')","{'S_1': '1-11', 'S_2': '1-10-110-0101'}","(0.9897, 0.2601044821858406)"
"('111', '1101100100')","{'S_1': '1-11', 'S_2': '1-10-110-0100'}","(0.5669, 1.4929905822753906)"
"('111', '1101100011')","{'S_1': '1-11', 'S_2': '1-10-110-0011'}","(0.9896, 0.12490457706451416)"
"('111', '1101100010')","{'S_1': '1-11', 'S_2': '1-10-110-0010'}","(0.9487, 0.8806018432617188)"
"('111', '1101100001')","{'S_1': '1-11', 'S_2': '1-10-110-0001'}","(0.9682, 0.7358334515571594)"
"('111', '1101100000')","{'S_1': '1-11', 'S_2': '1-10-110-0000'}","(0.0943, 2.8249553462982178)"
"('111', '1101011111')","{'S_1': '1-11', 'S_2': '1-10-101-1111'}","(0.9911, 0.03409917240125724)"
"('111', '1101011110')","{'S_1': '1-11', 'S_2': '1-10-101-1110'}","(0.9906, 0.03368952380381524)"
"('111', '1101011101')","{'S_1': '1-11', 'S_2': '1-10-101-1101'}","(0.9904, 0.03320921636573039)"
"('111', '1101011100')","{'S_1': '1-11', 'S_2': '1-10-101-1100'}","(0.9896, 0.0350350177208893)"
"('111', '1101011011')","{'S_1': '1-11', 'S_2': '1-10-101-1011'}","(0.9903, 0.034146883828373394)"
"('111', '1101011010')","{'S_1': '1-11', 'S_2': '1-10-101-1010'}","(0.9894, 0.03686018876321614)"
"('111', '1101011001')","{'S_1': '1-11', 'S_2': '1-10-101-1001'}","(0.9893, 0.034905628872476516)"
"('111', '1101011000')","{'S_1': '1-11', 'S_2': '1-10-101-1000'}","(0.9872, 0.04267220585672185)"
"('111', '1101010111')","{'S_1': '1-11', 'S_2': '1-10-101-0111'}","(0.9908, 0.05961854685842991)"
"('111', '1101010110')","{'S_1': '1-11', 'S_2': '1-10-101-0110'}","(0.9872, 0.2742326029777527)"
"('111', '1101010101')","{'S_1': '1-11', 'S_2': '1-10-101-0101'}","(0.9909, 0.15907604813575746)"
"('111', '1101010100')","{'S_1': '1-11', 'S_2': '1-10-101-0100'}","(0.8885, 1.1511382147789002)"
"('111', '1101010011')","{'S_1': '1-11', 'S_2': '1-10-101-0011'}","(0.9861, 0.19969885795116424)"
"('111', '1101010010')","{'S_1': '1-11', 'S_2': '1-10-101-0010'}","(0.7503, 1.2670217472076415)"
"('111', '1101010001')","{'S_1': '1-11', 'S_2': '1-10-101-0001'}","(0.969, 0.7491283660888672)"
"('111', '1101010000')","{'S_1': '1-11', 'S_2': '1-10-101-0000'}","(0.0645, 2.879181527328491)"
"('111', '1101001111')","{'S_1': '1-11', 'S_2': '1-10-100-1111'}","(0.9909, 0.03499513813015073)"
"('111', '1101001110')","{'S_1': '1-11', 'S_2': '1-10-100-1110'}","(0.9906, 0.03389423763111699)"
"('111', '1101001101')","{'S_1': '1-11', 'S_2': '1-10-100-1101'}","(0.9901, 0.03313595337509177)"
"('111', '1101001100')","{'S_1': '1-11', 'S_2': '1-10-100-1100'}","(0.9892, 0.03522168232784607)"
"('111', '1101001011')","{'S_1': '1-11', 'S_2': '1-10-100-1011'}","(0.9897, 0.035354854110302404)"
"('111', '1101001010')","{'S_1': '1-11', 'S_2': '1-10-100-1010'}","(0.9893, 0.03693563760807738)"
"('111', '1101001001')","{'S_1': '1-11', 'S_2': '1-10-100-1001'}","(0.9888, 0.03622769502718002)"
"('111', '1101001000')","{'S_1': '1-11', 'S_2': '1-10-100-1000'}","(0.9864, 0.04571184765771032)"
"('111', '1101000111')","{'S_1': '1-11', 'S_2': '1-10-100-0111'}","(0.9909, 0.06423669636249542)"
"('111', '1101000110')","{'S_1': '1-11', 'S_2': '1-10-100-0110'}","(0.988, 0.25863806281089785)"
"('111', '1101000101')","{'S_1': '1-11', 'S_2': '1-10-100-0101'}","(0.9892, 0.2915307728767395)"
"('111', '1101000100')","{'S_1': '1-11', 'S_2': '1-10-100-0100'}","(0.6095, 1.4472054441452027)"
"('111', '1101000011')","{'S_1': '1-11', 'S_2': '1-10-100-0011'}","(0.9846, 0.22727050948143004)"
"('111', '1101000010')","{'S_1': '1-11', 'S_2': '1-10-100-0010'}","(0.8088, 1.216779855442047)"
"('111', '1101000001')","{'S_1': '1-11', 'S_2': '1-10-100-0001'}","(0.8279, 1.1430009572982789)"
"('111', '1101000000')","{'S_1': '1-11', 'S_2': '1-10-100-0000'}","(0.0649, 3.0878580150604247)"
"('111', '1100111111')","{'S_1': '1-11', 'S_2': '1-10-011-1111'}","(0.9906, 0.03302725742653711)"
