model tuple,gen,test result
"('001', '0000001000')","{'S_1': '0-01', 'S_2': '0-00-000-1000'}","(0.5762, 2.1698611755371093)"
"('001', '0000001001')","{'S_1': '0-01', 'S_2': '0-00-000-1001'}","(0.5732, 2.173461140823364)"
"('001', '0000001010')","{'S_1': '0-01', 'S_2': '0-00-000-1010'}","(0.5738, 2.1737765209198)"
"('001', '0000001011')","{'S_1': '0-01', 'S_2': '0-00-000-1011'}","(0.5707, 2.177300955581665)"
"('001', '0000001100')","{'S_1': '0-01', 'S_2': '0-00-000-1100'}","(0.5736, 2.1748676368713378)"
"('001', '0000001101')","{'S_1': '0-01', 'S_2': '0-00-000-1101'}","(0.5704, 2.178344144439697)"
"('001', '0000001110')","{'S_1': '0-01', 'S_2': '0-00-000-1110'}","(0.5694, 2.178677293395996)"
"('001', '0000001111')","{'S_1': '0-01', 'S_2': '0-00-000-1111'}","(0.5664, 2.182073346710205)"
"('001', '0000010000')","{'S_1': '0-01', 'S_2': '0-00-001-0000'}","(0.0955, 2.3038849792480467)"
"('001', '0000010001')","{'S_1': '0-01', 'S_2': '0-00-001-0001'}","(0.0958, 2.303760348510742)"
"('001', '0000010010')","{'S_1': '0-01', 'S_2': '0-00-001-0010'}","(0.0683, 2.3041695491790772)"
"('001', '0000010011')","{'S_1': '0-01', 'S_2': '0-00-001-0011'}","(0.0958, 2.303764986038208)"
"('001', '0000010100')","{'S_1': '0-01', 'S_2': '0-00-001-0100'}","(0.0821, 2.3048747314453126)"
"('001', '0000010101')","{'S_1': '0-01', 'S_2': '0-00-001-0101'}","(0.0948, 2.3041490139007568)"
"('001', '0000010110')","{'S_1': '0-01', 'S_2': '0-00-001-0110'}","(0.0834, 2.3047924770355226)"
"('001', '0000010111')","{'S_1': '0-01', 'S_2': '0-00-001-0111'}","(0.0949, 2.3042226432800295)"
"('001', '0000011000')","{'S_1': '0-01', 'S_2': '0-00-001-1000'}","(0.5758, 2.170463523864746)"
"('001', '0000011001')","{'S_1': '0-01', 'S_2': '0-00-001-1001'}","(0.5711, 2.175267182159424)"
"('001', '0000011010')","{'S_1': '0-01', 'S_2': '0-00-001-1010'}","(0.5734, 2.174369240188599)"
"('001', '0000011011')","{'S_1': '0-01', 'S_2': '0-00-001-1011'}","(0.5678, 2.1791014999389646)"
"('001', '0000011100')","{'S_1': '0-01', 'S_2': '0-00-001-1100'}","(0.5737, 2.175473163986206)"
"('001', '0000011101')","{'S_1': '0-01', 'S_2': '0-00-001-1101'}","(0.5671, 2.180162791824341)"
"('001', '0000011110')","{'S_1': '0-01', 'S_2': '0-00-001-1110'}","(0.5697, 2.179277602005005)"
"('001', '0000011111')","{'S_1': '0-01', 'S_2': '0-00-001-1111'}","(0.5636, 2.1838872871398927)"
"('001', '0000100000')","{'S_1': '0-01', 'S_2': '0-00-010-0000'}","(0.0949, 2.30361311378479)"
"('001', '0000100001')","{'S_1': '0-01', 'S_2': '0-00-010-0001'}","(0.0958, 2.3038873565673827)"
"('001', '0000100010')","{'S_1': '0-01', 'S_2': '0-00-010-0010'}","(0.0369, 2.3040307983398436)"
"('001', '0000100011')","{'S_1': '0-01', 'S_2': '0-00-010-0011'}","(0.0958, 2.3038964126586916)"
"('001', '0000100100')","{'S_1': '0-01', 'S_2': '0-00-010-0100'}","(0.0684, 2.3046858558654786)"
"('001', '0000100101')","{'S_1': '0-01', 'S_2': '0-00-010-0101'}","(0.0945, 2.3042640228271485)"
"('001', '0000100110')","{'S_1': '0-01', 'S_2': '0-00-010-0110'}","(0.0658, 2.3045938491821287)"
"('001', '0000100111')","{'S_1': '0-01', 'S_2': '0-00-010-0111'}","(0.0937, 2.304360297393799)"
"('001', '0000101000')","{'S_1': '0-01', 'S_2': '0-00-010-1000'}","(0.5758, 2.170232855987549)"
"('001', '0000101001')","{'S_1': '0-01', 'S_2': '0-00-010-1001'}","(0.5706, 2.175299913024902)"
"('001', '0000101010')","{'S_1': '0-01', 'S_2': '0-00-010-1010'}","(0.5739, 2.174143342590332)"
"('001', '0000101011')","{'S_1': '0-01', 'S_2': '0-00-010-1011'}","(0.5673, 2.1791325759887696)"
"('001', '0000101100')","{'S_1': '0-01', 'S_2': '0-00-010-1100'}","(0.5725, 2.1752384349822997)"
"('001', '0000101101')","{'S_1': '0-01', 'S_2': '0-00-010-1101'}","(0.5675, 2.180184637069702)"
"('001', '0000101110')","{'S_1': '0-01', 'S_2': '0-00-010-1110'}","(0.5681, 2.179042525100708)"
"('001', '0000101111')","{'S_1': '0-01', 'S_2': '0-00-010-1111'}","(0.563, 2.1839088581085204)"
"('001', '0000110000')","{'S_1': '0-01', 'S_2': '0-00-011-0000'}","(0.0957, 2.30362384223938)"
"('001', '0000110001')","{'S_1': '0-01', 'S_2': '0-00-011-0001'}","(0.0958, 2.303907458114624)"
"('001', '0000110010')","{'S_1': '0-01', 'S_2': '0-00-011-0010'}","(0.059, 2.3040809356689453)"
"('001', '0000110011')","{'S_1': '0-01', 'S_2': '0-00-011-0011'}","(0.0958, 2.303893332672119)"
"('001', '0000110100')","{'S_1': '0-01', 'S_2': '0-00-011-0100'}","(0.0761, 2.3046729019165038)"
"('001', '0000110101')","{'S_1': '0-01', 'S_2': '0-00-011-0101'}","(0.093, 2.30426572303772)"
"('001', '0000110110')","{'S_1': '0-01', 'S_2': '0-00-011-0110'}","(0.0797, 2.3046163242340088)"
"('001', '0000110111')","{'S_1': '0-01', 'S_2': '0-00-011-0111'}","(0.093, 2.3043606937408447)"
"('001', '0000111000')","{'S_1': '0-01', 'S_2': '0-00-011-1000'}","(0.5755, 2.1702543201446534)"
"('001', '0000111001')","{'S_1': '0-01', 'S_2': '0-00-011-1001'}","(0.5711, 2.1747650974273682)"
"('001', '0000111010')","{'S_1': '0-01', 'S_2': '0-00-011-1010'}","(0.5736, 2.1741653018951417)"
"('001', '0000111011')","{'S_1': '0-01', 'S_2': '0-00-011-1011'}","(0.5676, 2.178605560684204)"
"('001', '0000111100')","{'S_1': '0-01', 'S_2': '0-00-011-1100'}","(0.5727, 2.1752619457244875)"
"('001', '0000111101')","{'S_1': '0-01', 'S_2': '0-00-011-1101'}","(0.5683, 2.1796560695648193)"
"('001', '0000111110')","{'S_1': '0-01', 'S_2': '0-00-011-1110'}","(0.5686, 2.1790686351776123)"
"('001', '0000111111')","{'S_1': '0-01', 'S_2': '0-00-011-1111'}","(0.5631, 2.1833889614105226)"
"('001', '0001000000')","{'S_1': '0-01', 'S_2': '0-00-100-0000'}","(0.0642, 2.3054143535614013)"
"('001', '0001000001')","{'S_1': '0-01', 'S_2': '0-00-100-0001'}","(0.2015, 2.285714316940308)"
"('001', '0001000010')","{'S_1': '0-01', 'S_2': '0-00-100-0010'}","(0.0656, 2.3060885154724122)"
"('001', '0001000011')","{'S_1': '0-01', 'S_2': '0-00-100-0011'}","(0.1907, 2.2882627338409423)"
"('001', '0001000100')","{'S_1': '0-01', 'S_2': '0-00-100-0100'}","(0.064, 2.3063843288421633)"
"('001', '0001000101')","{'S_1': '0-01', 'S_2': '0-00-100-0101'}","(0.187, 2.288952729797363)"
"('001', '0001000110')","{'S_1': '0-01', 'S_2': '0-00-100-0110'}","(0.0675, 2.306320362854004)"
"('001', '0001000111')","{'S_1': '0-01', 'S_2': '0-00-100-0111'}","(0.1787, 2.29083454284668)"
"('001', '0001001000')","{'S_1': '0-01', 'S_2': '0-00-100-1000'}","(0.5623, 2.1776517601013183)"
"('001', '0001001001')","{'S_1': '0-01', 'S_2': '0-00-100-1001'}","(0.5608, 2.164433115386963)"
"('001', '0001001010')","{'S_1': '0-01', 'S_2': '0-00-100-1010'}","(0.5591, 2.181464768600464)"
"('001', '0001001011')","{'S_1': '0-01', 'S_2': '0-00-100-1011'}","(0.5579, 2.16829736328125)"
"('001', '0001001100')","{'S_1': '0-01', 'S_2': '0-00-100-1100'}","(0.559, 2.182678284072876)"
"('001', '0001001101')","{'S_1': '0-01', 'S_2': '0-00-100-1101'}","(0.5571, 2.1692782119750977)"
"('001', '0001001110')","{'S_1': '0-01', 'S_2': '0-00-100-1110'}","(0.5537, 2.186387265777588)"
"('001', '0001001111')","{'S_1': '0-01', 'S_2': '0-00-100-1111'}","(0.5539, 2.173013595199585)"
"('001', '0001010000')","{'S_1': '0-01', 'S_2': '0-00-101-0000'}","(0.0637, 2.305450727844238)"
"('001', '0001010001')","{'S_1': '0-01', 'S_2': '0-00-101-0001'}","(0.2006, 2.285870040512085)"
"('001', '0001010010')","{'S_1': '0-01', 'S_2': '0-00-101-0010'}","(0.0657, 2.306104623413086)"
"('001', '0001010011')","{'S_1': '0-01', 'S_2': '0-00-101-0011'}","(0.1896, 2.288430415725708)"
"('001', '0001010100')","{'S_1': '0-01', 'S_2': '0-00-101-0100'}","(0.0644, 2.306388248825073)"
"('001', '0001010101')","{'S_1': '0-01', 'S_2': '0-00-101-0101'}","(0.1851, 2.2891184940338136)"
"('001', '0001010110')","{'S_1': '0-01', 'S_2': '0-00-101-0110'}","(0.0666, 2.3063244583129885)"
"('001', '0001010111')","{'S_1': '0-01', 'S_2': '0-00-101-0111'}","(0.178, 2.2910010250091553)"
"('001', '0001011000')","{'S_1': '0-01', 'S_2': '0-00-101-1000'}","(0.5628, 2.177415086746216)"
"('001', '0001011001')","{'S_1': '0-01', 'S_2': '0-00-101-1001'}","(0.5609, 2.1644298557281494)"
"('001', '0001011010')","{'S_1': '0-01', 'S_2': '0-00-101-1010'}","(0.5596, 2.1812276165008546)"
"('001', '0001011011')","{'S_1': '0-01', 'S_2': '0-00-101-1011'}","(0.5584, 2.1682991329193113)"
"('001', '0001011100')","{'S_1': '0-01', 'S_2': '0-00-101-1100'}","(0.5598, 2.1824371620178225)"
"('001', '0001011101')","{'S_1': '0-01', 'S_2': '0-00-101-1101'}","(0.5575, 2.1692823429107664)"
"('001', '0001011110')","{'S_1': '0-01', 'S_2': '0-00-101-1110'}","(0.5545, 2.186148413848877)"
"('001', '0001011111')","{'S_1': '0-01', 'S_2': '0-00-101-1111'}","(0.5539, 2.1730246513366698)"
"('001', '0001100000')","{'S_1': '0-01', 'S_2': '0-00-110-0000'}","(0.0676, 2.305171880722046)"
"('001', '0001100001')","{'S_1': '0-01', 'S_2': '0-00-110-0001'}","(0.2007, 2.2857920734405517)"
"('001', '0001100010')","{'S_1': '0-01', 'S_2': '0-00-110-0010'}","(0.0677, 2.305871795654297)"
"('001', '0001100011')","{'S_1': '0-01', 'S_2': '0-00-110-0011'}","(0.1888, 2.2883771202087404)"
"('001', '0001100100')","{'S_1': '0-01', 'S_2': '0-00-110-0100'}","(0.0656, 2.3061703285217283)"
"('001', '0001100101')","{'S_1': '0-01', 'S_2': '0-00-110-0101'}","(0.1853, 2.2890436931610108)"
"('001', '0001100110')","{'S_1': '0-01', 'S_2': '0-00-110-0110'}","(0.069, 2.3061053874969484)"
"('001', '0001100111')","{'S_1': '0-01', 'S_2': '0-00-110-0111'}","(0.1779, 2.290944037246704)"
"('001', '0001101000')","{'S_1': '0-01', 'S_2': '0-00-110-1000'}","(0.561, 2.1772695083618165)"
"('001', '0001101001')","{'S_1': '0-01', 'S_2': '0-00-110-1001'}","(0.5628, 2.1641558784484864)"
"('001', '0001101010')","{'S_1': '0-01', 'S_2': '0-00-110-1010'}","(0.559, 2.181086087799072)"
"('001', '0001101011')","{'S_1': '0-01', 'S_2': '0-00-110-1011'}","(0.559, 2.1680318492889405)"
"('001', '0001101100')","{'S_1': '0-01', 'S_2': '0-00-110-1100'}","(0.5587, 2.1822891819000243)"
"('001', '0001101101')","{'S_1': '0-01', 'S_2': '0-00-110-1101'}","(0.5588, 2.1690131580352783)"
"('001', '0001101110')","{'S_1': '0-01', 'S_2': '0-00-110-1110'}","(0.5538, 2.185997303390503)"
"('001', '0001101111')","{'S_1': '0-01', 'S_2': '0-00-110-1111'}","(0.5551, 2.172763415145874)"
"('001', '0001110000')","{'S_1': '0-01', 'S_2': '0-00-111-0000'}","(0.0662, 2.305217767715454)"
"('001', '0001110001')","{'S_1': '0-01', 'S_2': '0-00-111-0001'}","(0.1998, 2.285968606567383)"
"('001', '0001110010')","{'S_1': '0-01', 'S_2': '0-00-111-0010'}","(0.0671, 2.3058981163024903)"
"('001', '0001110011')","{'S_1': '0-01', 'S_2': '0-00-111-0011'}","(0.1879, 2.2885618618011474)"
"('001', '0001110100')","{'S_1': '0-01', 'S_2': '0-00-111-0100'}","(0.0651, 2.306187004852295)"
"('001', '0001110101')","{'S_1': '0-01', 'S_2': '0-00-111-0101'}","(0.1843, 2.2892243881225585)"
"('001', '0001110110')","{'S_1': '0-01', 'S_2': '0-00-111-0110'}","(0.0684, 2.3061195972442627)"
"('001', '0001110111')","{'S_1': '0-01', 'S_2': '0-00-111-0111'}","(0.1776, 2.291122672653198)"
"('001', '0001111000')","{'S_1': '0-01', 'S_2': '0-00-111-1000'}","(0.5616, 2.1770575759887696)"
"('001', '0001111001')","{'S_1': '0-01', 'S_2': '0-00-111-1001'}","(0.5626, 2.1641797042846678)"
"('001', '0001111010')","{'S_1': '0-01', 'S_2': '0-00-111-1010'}","(0.5593, 2.1808736351013183)"
"('001', '0001111011')","{'S_1': '0-01', 'S_2': '0-00-111-1011'}","(0.5593, 2.168059934616089)"
"('001', '0001111100')","{'S_1': '0-01', 'S_2': '0-00-111-1100'}","(0.5594, 2.182073090362549)"
"('001', '0001111101')","{'S_1': '0-01', 'S_2': '0-00-111-1101'}","(0.5592, 2.169043532180786)"
"('001', '0001111110')","{'S_1': '0-01', 'S_2': '0-00-111-1110'}","(0.555, 2.1857828968048096)"
"('001', '0001111111')","{'S_1': '0-01', 'S_2': '0-00-111-1111'}","(0.5553, 2.172798778152466)"
"('001', '0010000000')","{'S_1': '0-01', 'S_2': '0-01-000-0000'}","(0.0964, 2.3037852523803712)"
"('001', '0010000001')","{'S_1': '0-01', 'S_2': '0-01-000-0001'}","(0.0777, 2.3040077377319337)"
"('001', '0010000010')","{'S_1': '0-01', 'S_2': '0-01-000-0010'}","(0.0958, 2.3038170959472657)"
"('001', '0010000011')","{'S_1': '0-01', 'S_2': '0-01-000-0011'}","(0.0958, 2.303878380203247)"
"('001', '0010000100')","{'S_1': '0-01', 'S_2': '0-01-000-0100'}","(0.0708, 2.3044971813201904)"
"('001', '0010000101')","{'S_1': '0-01', 'S_2': '0-01-000-0101'}","(0.0651, 2.3046378086090087)"
"('001', '0010000110')","{'S_1': '0-01', 'S_2': '0-01-000-0110'}","(0.0957, 2.3040708625793456)"
"('001', '0010000111')","{'S_1': '0-01', 'S_2': '0-01-000-0111'}","(0.0958, 2.3041887928009035)"
"('001', '0010001000')","{'S_1': '0-01', 'S_2': '0-01-000-1000'}","(0.5746, 2.1711272468566896)"
"('001', '0010001001')","{'S_1': '0-01', 'S_2': '0-01-000-1001'}","(0.5712, 2.1747237155914307)"
"('001', '0010001010')","{'S_1': '0-01', 'S_2': '0-01-000-1010'}","(0.5742, 2.1752278594970704)"
"('001', '0010001011')","{'S_1': '0-01', 'S_2': '0-01-000-1011'}","(0.5702, 2.178757302474976)"
"('001', '0010001100')","{'S_1': '0-01', 'S_2': '0-01-000-1100'}","(0.571, 2.176151815032959)"
"('001', '0010001101')","{'S_1': '0-01', 'S_2': '0-01-000-1101'}","(0.5669, 2.1796248973846435)"
"('001', '0010001110')","{'S_1': '0-01', 'S_2': '0-01-000-1110'}","(0.5702, 2.180111940765381)"
"('001', '0010001111')","{'S_1': '0-01', 'S_2': '0-01-000-1111'}","(0.5674, 2.1835130142211914)"
"('001', '0010010000')","{'S_1': '0-01', 'S_2': '0-01-001-0000'}","(0.0958, 2.303790115737915)"
"('001', '0010010001')","{'S_1': '0-01', 'S_2': '0-01-001-0001'}","(0.0958, 2.303814080429077)"
"('001', '0010010010')","{'S_1': '0-01', 'S_2': '0-01-001-0010'}","(0.0958, 2.30383021736145)"
"('001', '0010010011')","{'S_1': '0-01', 'S_2': '0-01-001-0011'}","(0.0958, 2.303730575942993)"
"('001', '0010010100')","{'S_1': '0-01', 'S_2': '0-01-001-0100'}","(0.0755, 2.3047442600250245)"
"('001', '0010010101')","{'S_1': '0-01', 'S_2': '0-01-001-0101'}","(0.0888, 2.3045331256866457)"
"('001', '0010010110')","{'S_1': '0-01', 'S_2': '0-01-001-0110'}","(0.0951, 2.304123197555542)"
"('001', '0010010111')","{'S_1': '0-01', 'S_2': '0-01-001-0111'}","(0.0957, 2.304020359420776)"
"('001', '0010011000')","{'S_1': '0-01', 'S_2': '0-01-001-1000'}","(0.5755, 2.170083340454102)"
"('001', '0010011001')","{'S_1': '0-01', 'S_2': '0-01-001-1001'}","(0.5754, 2.1713268432617188)"
"('001', '0010011010')","{'S_1': '0-01', 'S_2': '0-01-001-1010'}","(0.5739, 2.17545419921875)"
"('001', '0010011011')","{'S_1': '0-01', 'S_2': '0-01-001-1011'}","(0.5732, 2.176665878677368)"
"('001', '0010011100')","{'S_1': '0-01', 'S_2': '0-01-001-1100'}","(0.5731, 2.1750982288360596)"
"('001', '0010011101')","{'S_1': '0-01', 'S_2': '0-01-001-1101'}","(0.5727, 2.176294859313965)"
"('001', '0010011110')","{'S_1': '0-01', 'S_2': '0-01-001-1110'}","(0.57, 2.1803473724365237)"
"('001', '0010011111')","{'S_1': '0-01', 'S_2': '0-01-001-1111'}","(0.5696, 2.181511697387695)"
"('001', '0010100000')","{'S_1': '0-01', 'S_2': '0-01-010-0000'}","(0.0985, 2.3036163703918455)"
"('001', '0010100001')","{'S_1': '0-01', 'S_2': '0-01-010-0001'}","(0.0974, 2.3038654609680176)"
"('001', '0010100010')","{'S_1': '0-01', 'S_2': '0-01-010-0010'}","(0.091, 2.303675684738159)"
"('001', '0010100011')","{'S_1': '0-01', 'S_2': '0-01-010-0011'}","(0.0958, 2.3037793399810793)"
"('001', '0010100100')","{'S_1': '0-01', 'S_2': '0-01-010-0100'}","(0.0803, 2.3044937072753906)"
"('001', '0010100101')","{'S_1': '0-01', 'S_2': '0-01-010-0101'}","(0.0814, 2.3041643325805663)"
"('001', '0010100110')","{'S_1': '0-01', 'S_2': '0-01-010-0110'}","(0.0695, 2.304145464324951)"
"('001', '0010100111')","{'S_1': '0-01', 'S_2': '0-01-010-0111'}","(0.0958, 2.304046301651001)"
"('001', '0010101000')","{'S_1': '0-01', 'S_2': '0-01-010-1000'}","(0.5743, 2.1714718673706055)"
"('001', '0010101001')","{'S_1': '0-01', 'S_2': '0-01-010-1001'}","(0.5673, 2.176549815750122)"
"('001', '0010101010')","{'S_1': '0-01', 'S_2': '0-01-010-1010'}","(0.5738, 2.1755999061584474)"
"('001', '0010101011')","{'S_1': '0-01', 'S_2': '0-01-010-1011'}","(0.5663, 2.180554108810425)"
"('001', '0010101100')","{'S_1': '0-01', 'S_2': '0-01-010-1100'}","(0.5695, 2.176492907333374)"
"('001', '0010101101')","{'S_1': '0-01', 'S_2': '0-01-010-1101'}","(0.5637, 2.1814522953033446)"
"('001', '0010101110')","{'S_1': '0-01', 'S_2': '0-01-010-1110'}","(0.5698, 2.1804881813049315)"
"('001', '0010101111')","{'S_1': '0-01', 'S_2': '0-01-010-1111'}","(0.5628, 2.1853128089904783)"
"('001', '0010110000')","{'S_1': '0-01', 'S_2': '0-01-011-0000'}","(0.0958, 2.303787634277344)"
"('001', '0010110001')","{'S_1': '0-01', 'S_2': '0-01-011-0001'}","(0.0958, 2.3039363220214844)"
"('001', '0010110010')","{'S_1': '0-01', 'S_2': '0-01-011-0010'}","(0.0958, 2.303819303512573)"
"('001', '0010110011')","{'S_1': '0-01', 'S_2': '0-01-011-0011'}","(0.0958, 2.3037785709381104)"
"('001', '0010110100')","{'S_1': '0-01', 'S_2': '0-01-011-0100'}","(0.079, 2.304821982192993)"
"('001', '0010110101')","{'S_1': '0-01', 'S_2': '0-01-011-0101'}","(0.085, 2.304476575088501)"
"('001', '0010110110')","{'S_1': '0-01', 'S_2': '0-01-011-0110'}","(0.0956, 2.3042520591735838)"
"('001', '0010110111')","{'S_1': '0-01', 'S_2': '0-01-011-0111'}","(0.0957, 2.3040638385772705)"
"('001', '0010111000')","{'S_1': '0-01', 'S_2': '0-01-011-1000'}","(0.5751, 2.1700800579071045)"
"('001', '0010111001')","{'S_1': '0-01', 'S_2': '0-01-011-1001'}","(0.5748, 2.171992530441284)"
"('001', '0010111010')","{'S_1': '0-01', 'S_2': '0-01-011-1010'}","(0.5737, 2.175448582839966)"
"('001', '0010111011')","{'S_1': '0-01', 'S_2': '0-01-011-1011'}","(0.5723, 2.1773146938323973)"
"('001', '0010111100')","{'S_1': '0-01', 'S_2': '0-01-011-1100'}","(0.5728, 2.1750877914428712)"
"('001', '0010111101')","{'S_1': '0-01', 'S_2': '0-01-011-1101'}","(0.5725, 2.17693501701355)"
"('001', '0010111110')","{'S_1': '0-01', 'S_2': '0-01-011-1110'}","(0.5696, 2.1803352668762206)"
"('001', '0010111111')","{'S_1': '0-01', 'S_2': '0-01-011-1111'}","(0.5687, 2.1821347118377687)"
"('001', '0011000000')","{'S_1': '0-01', 'S_2': '0-01-100-0000'}","(0.0686, 2.3052317790985106)"
"('001', '0011000001')","{'S_1': '0-01', 'S_2': '0-01-100-0001'}","(0.1977, 2.2870790138244628)"
"('001', '0011000010')","{'S_1': '0-01', 'S_2': '0-01-100-0010'}","(0.0642, 2.305422388458252)"
"('001', '0011000011')","{'S_1': '0-01', 'S_2': '0-01-100-0011'}","(0.1844, 2.289508887863159)"
"('001', '0011000100')","{'S_1': '0-01', 'S_2': '0-01-100-0100'}","(0.0673, 2.3063161869049074)"
"('001', '0011000101')","{'S_1': '0-01', 'S_2': '0-01-100-0101'}","(0.1827, 2.2902610088348387)"
"('001', '0011000110')","{'S_1': '0-01', 'S_2': '0-01-100-0110'}","(0.067, 2.3056547424316407)"
"('001', '0011000111')","{'S_1': '0-01', 'S_2': '0-01-100-0111'}","(0.1768, 2.2919677501678466)"
"('001', '0011001000')","{'S_1': '0-01', 'S_2': '0-01-100-1000'}","(0.56, 2.178838193130493)"
"('001', '0011001001')","{'S_1': '0-01', 'S_2': '0-01-100-1001'}","(0.5566, 2.165693115234375)"
"('001', '0011001010')","{'S_1': '0-01', 'S_2': '0-01-100-1010'}","(0.5602, 2.183036949920654)"
"('001', '0011001011')","{'S_1': '0-01', 'S_2': '0-01-100-1011'}","(0.5562, 2.169690222930908)"
"('001', '0011001100')","{'S_1': '0-01', 'S_2': '0-01-100-1100'}","(0.5553, 2.18387366065979)"
"('001', '0011001101')","{'S_1': '0-01', 'S_2': '0-01-100-1101'}","(0.5543, 2.170553423309326)"
"('001', '0011001110')","{'S_1': '0-01', 'S_2': '0-01-100-1110'}","(0.5531, 2.1879524364471434)"
"('001', '0011001111')","{'S_1': '0-01', 'S_2': '0-01-100-1111'}","(0.5526, 2.174394850921631)"
"('001', '0011010000')","{'S_1': '0-01', 'S_2': '0-01-101-0000'}","(0.0652, 2.305207894897461)"
"('001', '0011010001')","{'S_1': '0-01', 'S_2': '0-01-101-0001'}","(0.2, 2.2858381099700926)"
"('001', '0011010010')","{'S_1': '0-01', 'S_2': '0-01-101-0010'}","(0.0656, 2.305212255859375)"
"('001', '0011010011')","{'S_1': '0-01', 'S_2': '0-01-101-0011'}","(0.1829, 2.2897313404083253)"
"('001', '0011010100')","{'S_1': '0-01', 'S_2': '0-01-101-0100'}","(0.0664, 2.306161245727539)"
"('001', '0011010101')","{'S_1': '0-01', 'S_2': '0-01-101-0101'}","(0.1855, 2.2891462448120117)"
"('001', '0011010110')","{'S_1': '0-01', 'S_2': '0-01-101-0110'}","(0.068, 2.305424142456055)"
"('001', '0011010111')","{'S_1': '0-01', 'S_2': '0-01-101-0111'}","(0.1745, 2.292230672073364)"
"('001', '0011011000')","{'S_1': '0-01', 'S_2': '0-01-101-1000'}","(0.5628, 2.1771278751373293)"
"('001', '0011011001')","{'S_1': '0-01', 'S_2': '0-01-101-1001'}","(0.5625, 2.164035707855225)"
"('001', '0011011010')","{'S_1': '0-01', 'S_2': '0-01-101-1010'}","(0.5598, 2.182505952835083)"
"('001', '0011011011')","{'S_1': '0-01', 'S_2': '0-01-101-1011'}","(0.5583, 2.1693172653198243)"
"('001', '0011011100')","{'S_1': '0-01', 'S_2': '0-01-101-1100'}","(0.5598, 2.182151597595215)"
"('001', '0011011101')","{'S_1': '0-01', 'S_2': '0-01-101-1101'}","(0.5589, 2.168898355484009)"
"('001', '0011011110')","{'S_1': '0-01', 'S_2': '0-01-101-1110'}","(0.5544, 2.187420137023926)"
"('001', '0011011111')","{'S_1': '0-01', 'S_2': '0-01-101-1111'}","(0.5546, 2.174040075302124)"
"('001', '0011100000')","{'S_1': '0-01', 'S_2': '0-01-110-0000'}","(0.0688, 2.3050251667022703)"
"('001', '0011100001')","{'S_1': '0-01', 'S_2': '0-01-110-0001'}","(0.1968, 2.2871607891082766)"
"('001', '0011100010')","{'S_1': '0-01', 'S_2': '0-01-110-0010'}","(0.0661, 2.3051868621826173)"
"('001', '0011100011')","{'S_1': '0-01', 'S_2': '0-01-110-0011'}","(0.183, 2.2896207107543947)"
"('001', '0011100100')","{'S_1': '0-01', 'S_2': '0-01-110-0100'}","(0.0675, 2.3061244579315185)"
"('001', '0011100101')","{'S_1': '0-01', 'S_2': '0-01-110-0101'}","(0.1813, 2.290352769470215)"
"('001', '0011100110')","{'S_1': '0-01', 'S_2': '0-01-110-0110'}","(0.0695, 2.305410641860962)"
"('001', '0011100111')","{'S_1': '0-01', 'S_2': '0-01-110-0111'}","(0.1755, 2.2920797843933105)"
"('001', '0011101000')","{'S_1': '0-01', 'S_2': '0-01-110-1000'}","(0.5596, 2.1784624420166017)"
"('001', '0011101001')","{'S_1': '0-01', 'S_2': '0-01-110-1001'}","(0.5577, 2.1654160987854003)"
"('001', '0011101010')","{'S_1': '0-01', 'S_2': '0-01-110-1010'}","(0.5588, 2.182655983734131)"
"('001', '0011101011')","{'S_1': '0-01', 'S_2': '0-01-110-1011'}","(0.5575, 2.169426508331299)"
"('001', '0011101100')","{'S_1': '0-01', 'S_2': '0-01-110-1100'}","(0.5553, 2.183491307067871)"
"('001', '0011101101')","{'S_1': '0-01', 'S_2': '0-01-110-1101'}","(0.5559, 2.1702913440704346)"
"('001', '0011101110')","{'S_1': '0-01', 'S_2': '0-01-110-1110'}","(0.5539, 2.1875566684722902)"
"('001', '0011101111')","{'S_1': '0-01', 'S_2': '0-01-110-1111'}","(0.5545, 2.1741469528198243)"
"('001', '0011110000')","{'S_1': '0-01', 'S_2': '0-01-111-0000'}","(0.0687, 2.3049867458343507)"
"('001', '0011110001')","{'S_1': '0-01', 'S_2': '0-01-111-0001'}","(0.198, 2.2859497665405275)"
"('001', '0011110010')","{'S_1': '0-01', 'S_2': '0-01-111-0010'}","(0.0684, 2.3050000400543214)"
"('001', '0011110011')","{'S_1': '0-01', 'S_2': '0-01-111-0011'}","(0.1816, 2.289869786834717)"
"('001', '0011110100')","{'S_1': '0-01', 'S_2': '0-01-111-0100'}","(0.0669, 2.3059697769165037)"
"('001', '0011110101')","{'S_1': '0-01', 'S_2': '0-01-111-0101'}","(0.184, 2.289264342880249)"
"('001', '0011110110')","{'S_1': '0-01', 'S_2': '0-01-111-0110'}","(0.0707, 2.3052081672668456)"
"('001', '0011110111')","{'S_1': '0-01', 'S_2': '0-01-111-0111'}","(0.1736, 2.2923627334594725)"
"('001', '0011111000')","{'S_1': '0-01', 'S_2': '0-01-111-1000'}","(0.5623, 2.1767823066711425)"
"('001', '0011111001')","{'S_1': '0-01', 'S_2': '0-01-111-1001'}","(0.5636, 2.1638053848266603)"
"('001', '0011111010')","{'S_1': '0-01', 'S_2': '0-01-111-1010'}","(0.5591, 2.1821632579803465)"
